Date,1Y ,2Y,3Y,4Y,5Y,7Y,10Y
7/9/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
7/8/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
7/7/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
7/4/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
7/3/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
7/2/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
7/1/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/30/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/27/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/26/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/25/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/24/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/23/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/20/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/19/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/18/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/17/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/16/2014,1.075,1.6,2,2.3,1.5975,3.1,3.3
6/13/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/12/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/11/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/10/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/9/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/6/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/5/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/4/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/3/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
6/2/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/30/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/29/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/28/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/27/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/26/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/23/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/22/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/21/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/20/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/19/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/16/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/15/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/14/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/13/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/12/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/9/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/8/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/7/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/6/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/5/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/2/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
5/1/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/30/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/29/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/28/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/25/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/24/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/23/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/22/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/21/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/18/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/17/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/16/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/15/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/14/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/11/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/10/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/9/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/8/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/7/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/4/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/3/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/2/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
4/1/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/31/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/28/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/27/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/26/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/25/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/24/2014,1.075,1.6,2,2.65,2.8,3.1,3.3
3/21/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/20/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/19/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/18/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/17/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/14/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/13/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/12/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/11/2014,1.075,1.6,2,2.3,2.8,3.1,3.3
3/10/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
3/7/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
3/6/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
3/5/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
3/4/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
3/3/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
2/28/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
2/27/2014,1.075,1.75,2.1,2.4,2.9,3.2,3.4
2/26/2014,1.1,1.75,2.1,2.4,2.9,3.2,3.4
2/25/2014,1.1,1.75,2.1,2.4,2.8,3.075,3.275
2/24/2014,0.85,1.5,1.925,2.2,2.75,2.95,3.15
2/21/2014,0.85,1.5,1.925,2.2,2.75,2.95,3.15
2/20/2014,0.85,1.5,1.925,2.2,2.75,2.95,3.15
2/19/2014,0.85,1.45,1.9,2.15,2.6,2.85,3.05
2/18/2014,0.65,1.4,1.9,2.1,2.5,2.75,2.95
2/17/2014,0.65,1.4,1.9,2.1,2.5,2.75,2.95
2/14/2014,0.6,1.4,1.925,2,2.45,2.675,2.875
2/13/2014,0.6,1.4,1.95,2.05,2.5,2.775,3
2/12/2014,0.6,1.4,1.95,2,2.45,2.7,2.9
2/11/2014,0.6,1.4,1.95,2,2.45,2.7,2.9
2/10/2014,0.6,1.4,1.975,2,2.45,2.7,2.9
2/7/2014,0.6,1.4,1.95,2,2.45,2.7,2.9
2/6/2014,1.025,1.9,2.75,3.075,3.6,4.1,4.6
2/5/2014,1.025,1.9,2.725,3.05,3.575,4.05,4.6
2/4/2014,1.025,1.9,2.725,3.05,3.575,4.05,4.6
2/3/2014,1,1.85,2.725,3.05,3.55,4.05,4.6
1/31/2014,1,1.825,2.7375,3.04,3.54,4.075,4.6
1/30/2014,1,1.825,2.7375,3.04,3.54,4.075,4.6
1/29/2014,1.025,1.9,2.825,3.2,3.725,4.2,4.65
1/28/2014,1.05,1.925,2.825,3.2,3.725,4.2,4.65
1/27/2014,1.05,1.9,2.85,3.2,3.75,4.2,4.65
1/24/2014,1,1.925,2.8,3.175,3.675,4.175,4.65
1/23/2014,0.9,1.8,2.775,3.125,3.675,4.25,4.45
1/22/2014,0.725,1.675,2.575,2.975,3.425,3.875,4.25
1/21/2014,0.725,1.675,2.575,2.975,3.425,3.875,4.25
1/20/2014,0.7,1.675,2.575,2.975,3.5,3.875,4.25
1/17/2014,0.725,1.65,2.55,2.9625,3.45,3.875,4.25
