Date,6M ,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
3/18/2014,3.33,3.38,3.43,3.57,3.71,3.855,4.005,4.26,4.525
3/17/2014,3.34,3.39,3.44,3.585,3.73,3.88,4.035,4.29,4.56
3/14/2014,3.33,3.375,3.425,3.56,3.705,3.85,4,4.255,4.515
3/13/2014,3.325,3.37,3.42,3.56,3.7,3.845,4,4.255,4.53
3/12/2014,3.33,3.38,3.43,3.575,3.72,3.875,4.03,4.285,4.56
3/11/2014,3.345,3.39,3.445,3.59,3.735,3.89,4.05,4.31,4.59
3/10/2014,3.345,3.39,3.445,3.59,3.735,3.89,4.045,4.305,4.58
3/7/2014,3.345,3.39,3.44,3.575,3.715,3.865,4.015,4.275,4.54
3/6/2014,3.355,3.405,3.455,3.595,3.735,3.875,4.025,4.28,4.55
3/5/2014,3.35,3.395,3.445,3.58,3.72,3.87,4.02,4.275,4.55
3/4/2014,3.345,3.395,3.44,3.57,3.705,3.855,4.005,4.26,4.535
3/3/2014,3.35,3.395,3.44,3.57,3.705,3.845,3.985,4.24,4.505
2/28/2014,3.345,3.39,3.44,3.565,3.7,3.84,3.98,4.235,4.5
2/27/2014,3.365,3.41,3.46,3.595,3.735,3.875,4.015,4.27,4.525
2/26/2014,3.36,3.405,3.46,3.595,3.74,3.885,4.03,4.285,4.55
2/25/2014,3.335,3.395,3.455,3.6,3.75,3.895,4.04,4.295,4.56
2/24/2014,3.34,3.39,3.445,3.59,3.74,3.89,4.035,4.29,4.55
2/21/2014,3.345,3.395,3.45,3.595,3.745,3.89,4.035,4.29,4.56
2/20/2014,3.34,3.39,3.445,3.585,3.73,3.875,4.025,4.28,4.54
2/19/2014,3.335,3.38,3.435,3.57,3.72,3.845,3.99,4.24,4.5
2/18/2014,3.33,3.375,3.42,3.56,3.71,3.86,4.005,4.255,4.52
2/17/2014,3.335,3.375,3.42,3.565,3.705,3.84,3.975,4.225,4.475
2/14/2014,3.325,3.37,3.42,3.565,3.715,3.86,4.01,4.265,4.52
2/13/2014,3.32,3.36,3.42,3.57,3.72,3.87,4.025,4.285,4.55
2/12/2014,3.325,3.375,3.42,3.575,3.725,3.885,4.045,4.305,4.58
2/11/2014,3.325,3.375,3.42,3.58,3.735,3.89,4.05,4.31,4.58
2/10/2014,3.32,3.36,3.405,3.56,3.715,3.875,4.035,4.295,4.565
2/7/2014,3.325,3.37,3.425,3.575,3.735,3.9,4.065,4.325,4.595
