Index,Indicator,Up,Down,Forecasts,ar,ma,p,q
1952-05-14,1,1,0,0.00104760306506917,0,3,1,1
1952-05-15,-1,0,-1,-0.000333122705446788,2,0,1,1
1952-05-16,1,1,0,0.000472726188784907,2,0,1,1
1952-05-19,1,1,0,0.000574463011488358,2,0,1,1
1952-05-20,1,1,0,0.00100363982898985,0,3,1,1
1952-05-21,1,1,0,0.000846624943220784,2,0,1,1
1952-05-22,-1,0,-1,-0.000148919626504534,2,0,1,1
1952-05-23,1,1,0,0.000925272897050526,2,0,1,1
1952-05-26,1,1,0,0.000920502673102781,3,1,1,1
1952-05-27,1,1,0,0.000783184797953217,2,0,1,1
1952-05-28,-1,0,-1,-0.000255921120471529,3,1,1,1
1952-05-29,1,1,0,0.000562093413903835,1,5,1,1
1952-06-02,1,1,0,0.000816142060604408,5,4,1,1
1952-06-03,-1,0,-1,-0.000101918460281654,0,4,1,1
1952-06-04,1,1,0,0.000574227992786434,0,3,1,1
1952-06-05,1,1,0,0.00166722447166851,5,3,1,1
1952-06-06,1,1,0,0.000309795612282078,0,3,1,1
1952-06-09,1,1,0,0.000515709353180661,3,1,1,1
1952-06-10,1,1,0,0.000425727304047581,2,5,1,1
1952-06-11,-1,0,-1,-0.00235070333209087,2,5,1,1
1952-06-12,1,1,0,0.00157564748224763,3,2,1,1
1952-06-13,-1,0,-1,-6.9062784699842e-05,2,0,1,1
1952-06-16,1,1,0,0.000738301305690463,2,0,1,1
1952-06-17,-1,0,-1,-0.000857885552451928,4,1,1,1
1952-06-18,1,1,0,0.00169106152162705,3,1,1,1
1952-06-19,1,1,0,0.00141265060253862,4,2,1,1
1952-06-20,1,1,0,0.000816510701308537,5,5,1,1
1952-06-23,1,1,0,0.000169287895744196,3,5,1,1
1952-06-24,1,1,0,8.71559116210483e-05,3,5,1,1
1952-06-25,1,1,0,0.00098992732125317,5,4,1,1
1952-06-26,1,1,0,0.000760090526631648,1,4,1,1
1952-06-27,1,1,0,0.000342032130315943,3,5,1,1
1952-06-30,1,1,0,0.000636820805328,5,2,1,1
1952-07-01,1,1,0,0.000719268318375627,5,1,1,1
1952-07-02,1,1,0,0.00135659434093715,4,1,1,1
1952-07-03,-1,0,-1,-0.00104361237485448,4,2,1,1
1952-07-07,1,1,0,0.00171629758220222,3,5,1,1
1952-07-08,1,1,0,0.000379077040240251,5,4,1,1
1952-07-09,1,1,0,0.00130703330586758,1,5,1,1
1952-07-10,-1,0,-1,-0.000539141220004539,4,1,1,1
1952-07-11,1,1,0,0.00138468868379971,3,1,1,1
1952-07-14,1,1,0,0.00180128897559829,5,3,1,1
1952-07-15,1,1,0,0.000702640683823525,5,3,1,1
1952-07-16,1,1,0,0.00170282158927342,5,3,1,1
1952-07-17,1,1,0,0.000863236996701909,5,4,1,1
1952-07-18,1,1,0,0.00026091018674684,4,3,1,1
1952-07-21,1,1,0,0.000113409902315944,4,3,1,1
1952-07-22,1,1,0,0.00172562993031478,3,4,1,1
1952-07-23,-1,0,-1,-0.000467461016835257,3,4,1,1
1952-07-24,1,1,0,0.0010717704780298,4,1,1,1
1952-07-25,1,1,0,0.00080096722921194,4,2,1,1
1952-07-28,-1,0,-1,-0.000401193662946506,5,2,1,1
1952-07-29,1,1,0,0.000924252391414508,5,1,1,1
1952-07-30,1,1,0,0.000959526841347317,4,1,1,1
1952-07-31,1,1,0,0.000759220702217088,5,3,1,1
1952-08-01,-1,0,-1,-0.000289032703139303,5,3,1,1
1952-08-04,1,1,0,0.000734024798338198,5,3,1,1
1952-08-05,1,1,0,4.37120926847254e-06,2,4,1,1
1952-08-06,1,1,0,0.0011424559434442,3,2,1,1
1952-08-07,1,1,0,0.000357771938471279,3,5,1,1
1952-08-08,1,1,0,0.00114888947605299,4,5,1,1
1952-08-11,1,1,0,0.000661447562368767,2,2,1,1
1952-08-12,1,1,0,0.000360115221042914,2,0,1,1
1952-08-13,-1,0,-1,-0.000334125079181596,2,0,1,1
1952-08-14,1,1,0,0.00164446842654816,5,3,1,1
1952-08-15,1,1,0,0.00093617958675703,4,2,1,1
1952-08-18,1,1,0,0.000127672172605123,2,0,1,1
1952-08-19,-1,0,-1,-0.000357254762745874,2,5,1,1
1952-08-20,1,1,0,0.00119022002215617,4,2,1,1
1952-08-21,1,1,0,0.00180554162961336,4,5,1,1
1952-08-22,1,1,0,0.000841698088754499,5,5,1,1
