JPY
117.28
118.83
120.73
122.62
121.59
116.72
115.01
115.74
111.21
112.34
107.66
107.16
100.79
102.49
104.14
106.9
106.81
109.28
106.75
100.33
96.81
91.28
90.41
92.5
97.87
99
96.3
96.52
94.5
94.84
91.49
90.29
89.19
89.55
91.16
90.28
90.52
93.38
91.74
90.92
87.72
85.47
84.38
81.87
82.48
83.41
82.63
82.53
81.79
83.35
81.23
80.51
79.47
77.22
76.84
76.77
77.54
77.85
76.97
78.45
82.43
81.49
79.7
79.32
79.02
78.66
78.17
78.97
80.87
83.64
89.18
93.21
94.75
97.71
101.08
97.43
99.71
97.87
99.24
97.85
100.03
103.46
103.94
