"","Date","Tenor","Original","Interpolated"
"1",2011-01-21,"X1W",7.3,5.14480437699707
"2",2011-01-24,"X1W",4.8,5.49091653096616
"3",2012-01-17,"X1W",7.09,4.53313079391228
"4",2012-01-18,"X1W",8.1,4.52285373203595
"5",2013-12-20,"X1W",7.6,5.21545801517822
"6",2013-12-23,"X1W",8.84,5.31403782931198
"7",2011-08-17,"X6M",3.05,3.61349782327847
